FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=78, fi_cycle=196, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=31, opcode=add
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=77, fi_cycle=51, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=8, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=37, fi_cycle=93, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=37, fi_cycle=192, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=36, fi_cycle=92, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=11, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=84, fi_cycle=1, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=54, opcode=alloca
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=37, fi_cycle=15, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=36, fi_cycle=221, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=28, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=77, fi_cycle=213, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=17, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=36, fi_cycle=155, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=20, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=59, fi_cycle=72, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=3, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=45, fi_cycle=21, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=14, opcode=fmul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=78, fi_cycle=202, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=25, opcode=add
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=40, fi_cycle=95, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=37, fi_cycle=144, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=36, fi_cycle=92, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=8, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=66, fi_cycle=39, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=18, opcode=fptrunc
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=46, fi_cycle=61, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=24, opcode=fsub
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=77, fi_cycle=135, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=3, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=40, fi_cycle=224, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=36, fi_cycle=161, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=13, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=39, fi_cycle=163, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=26, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=39, fi_cycle=181, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=19, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=36, fi_cycle=155, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=2, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=46, fi_cycle=22, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=19, opcode=fsub
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=37, fi_cycle=222, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=5, fi_cycle=43, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=fcmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=45, fi_cycle=60, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=6, opcode=fmul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=40, fi_cycle=56, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=51, fi_cycle=105, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=41, opcode=fdiv
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=56, fi_cycle=70, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=20, opcode=fadd
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=36, fi_cycle=191, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=21, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=39, fi_cycle=55, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=30, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=36, fi_cycle=173, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=12, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=40, fi_cycle=152, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=39, fi_cycle=199, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=15, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=36, fi_cycle=173, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=12, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=77, fi_cycle=177, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=20, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=19, fi_cycle=6, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=53, opcode=alloca
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=36, fi_cycle=179, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=6, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=36, fi_cycle=215, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=28, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=62, fi_cycle=114, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=17, opcode=fsub
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=37, fi_cycle=156, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=70, fi_cycle=128, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=fcmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=62, fi_cycle=75, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=3, opcode=fsub
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=36, fi_cycle=155, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=31, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=67, fi_cycle=47, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=17, opcode=call
